model,regime,run_id,n_concepts,fwt_lopez_paz
lstm,ewc,r-ewc_sl10_st10_la1000,5,0.10730748805839183
lstm,ewc,r-ewc_sl12_st12_la1000,5,0.0895290485386257
lstm,ewc,r-ewc_sl12_st6_la1000,5,0.11520048408187798
lstm,ewc,r-ewc_sl16_st16_la1000,5,0.1344036975228398
lstm,ewc,r-ewc_sl24_st12_la100,5,0.06240806655869402
lstm,ewc,r-ewc_sl24_st12_la1000,5,0.10513471813112138
lstm,ewc,r-ewc_sl24_st12_la10000,5,0.06051654967453264
lstm,ewc,r-ewc_sl24_st12_la500,5,0.04730311009550077
lstm,ewc,r-ewc_sl24_st12_la5000,5,0.10144021964276043
lstm,ewc,r-ewc_sl48_st24_la1000,5,0.0967176576877895
lstm,ewc,r-ewc_sl48_st48_la1000,5,0.15532045818970325
lstm,ewc,r-ewc_sl6_st6_la1000,5,0.08298111459074886
lstm,ewc,r-ewc_sl8_st4_la1000,5,0.12398337395019263
lstm,ewc,r-ewc_sl8_st8_la1000,5,0.13449938667846767
tcn,ewc,r-ewc_sl10_st10_la1000,5,0.16426073063480415
tcn,ewc,r-ewc_sl12_st12_la1000,5,0.16816660341377568
tcn,ewc,r-ewc_sl12_st6_la1000,5,0.16033375205194686
tcn,ewc,r-ewc_sl16_st16_la1000,5,0.1660313261165943
tcn,ewc,r-ewc_sl24_st12_la100,5,0.15839533787094523
tcn,ewc,r-ewc_sl24_st12_la1000,5,0.15654268285084907
tcn,ewc,r-ewc_sl24_st12_la10000,5,0.18307232219096342
tcn,ewc,r-ewc_sl24_st12_la500,5,0.15615240177729647
tcn,ewc,r-ewc_sl24_st12_la5000,5,0.16909808749335467
tcn,ewc,r-ewc_sl48_st24_la1000,5,0.1683628183064968
tcn,ewc,r-ewc_sl48_st48_la1000,5,0.1649817383385733
tcn,ewc,r-ewc_sl6_st6_la1000,5,0.17045538504671112
tcn,ewc,r-ewc_sl8_st4_la1000,5,0.15624554619556139
tcn,ewc,r-ewc_sl8_st8_la1000,5,0.16521438183184012
vgru,ewc,r-ewc_sl10_st10_la1000,5,0.18255912645529757
vgru,ewc,r-ewc_sl12_st12_la1000,5,0.18238128485548605
vgru,ewc,r-ewc_sl12_st6_la1000,5,0.18281484324442562
vgru,ewc,r-ewc_sl16_st16_la1000,5,0.1829225978719739
vgru,ewc,r-ewc_sl24_st12_la100,5,0.1823496610648797
vgru,ewc,r-ewc_sl24_st12_la1000,5,0.18228476781140118
vgru,ewc,r-ewc_sl24_st12_la10000,5,0.18246071401779473
vgru,ewc,r-ewc_sl24_st12_la500,5,0.18231026164036182
vgru,ewc,r-ewc_sl24_st12_la5000,5,0.18235143086485053
vgru,ewc,r-ewc_sl48_st24_la1000,5,0.18403307951817918
vgru,ewc,r-ewc_sl48_st48_la1000,5,0.1853502388395912
vgru,ewc,r-ewc_sl6_st6_la1000,5,0.18219034016658628
vgru,ewc,r-ewc_sl8_st4_la1000,5,0.1837234197646396
vgru,ewc,r-ewc_sl8_st8_la1000,5,0.18448762183685477
vgru-kl,ewc,r-ewc_sl10_st10_la1000,5,0.11694627837531396
vgru-kl,ewc,r-ewc_sl12_st12_la1000,5,0.08037420903498677
vgru-kl,ewc,r-ewc_sl12_st6_la1000,5,0.1037204438505284
vgru-kl,ewc,r-ewc_sl16_st16_la1000,5,0.09585439710424615
vgru-kl,ewc,r-ewc_sl24_st12_la100,5,0.1386474464451682
