dataset,model,regime,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
yahoo-a1,tcn,ewc,6,6,336,,,,,1000.0,,,MULTISEED,123,-0.06634247791676845,-0.0483110916921816,0.06634247791676845,0.831057437586776,0.7708604355917748,0.9442701867288251,4,6,6,0.9443,0.8775,0.8786,0.6239,0.7713,0.8479,0.8403,0.6239,3.0874872101483256e-05,4.664399359064798e-05,2.1201913310990982e-05,2.544208027965699e-05,15.3,44,4,15.3,r-ewc_sl6_st6_sp336_la1000_seed123
yahoo-a1,tcn,ewc,6,6,336,,,,,1000.0,,,MULTISEED,7,-0.1860554651217867,-0.05546980144284891,0.1860554651217867,0.748490002452006,0.5687564628577648,0.8680804888955135,4,6,6,0.8236,0.8625,0.6631,0.6447,0.2608,0.8394,0.5302,0.6447,2.52611165134686e-05,3.816305223464345e-05,1.734690098480011e-05,2.081615124984334e-05,12.5,31,4,12.5,r-ewc_sl6_st6_sp336_la1000_seed7
yahoo-a1,tcn,experts,12,12,336,,,,,,,,MULTISEED,123,-0.21205946130771147,-0.09871001946478652,0.21205946130771156,0.6945634989143916,0.5568534409189081,0.8617026212015773,4,6,6,0.747,0.8528,0.552,0.6265,0.3,0.8176,0.4833,0.6265,3.03074483941229e-05,4.578676225759813e-05,2.081222552094712e-05,2.4974536736651013e-05,15.0,111,4,15.0,r-experts_sl12_st12_sp336_seed123
yahoo-a1,tcn,experts,12,12,336,,,,,,,,MULTISEED,7,-0.21096534180234272,-0.11370691114925717,0.21096534180234272,0.6713432338291189,0.5352039892057118,0.8519926215576781,4,6,6,0.7907,0.828,0.4812,0.5855,0.2925,0.7743,0.4886,0.5855,2.7796199319423044e-05,4.19929105661706e-05,1.9087755844359183e-05,2.2905154721811414e-05,13.7,100,4,13.8,r-experts_sl12_st12_sp336_seed7
yahoo-a1,tcn,gdumb,6,6,336,50.0,,,0.5,,,,MULTISEED,123,-0.23873875645473844,-0.1204919912958754,0.23873875645473844,0.7687884788313142,0.5668778222233473,0.9442701867288251,4,6,6,0.9443,0.8458,0.6981,0.587,0.2937,0.8385,0.5483,0.587,6.217619509044466e-05,9.393224482864348e-05,4.2696623784852106e-05,5.1235621043791365e-05,30.7,81,4,30.8,r-gdumb_sl6_st6_sp336_bu50_re0.5_seed123
yahoo-a1,tcn,gdumb,6,6,336,50.0,,,0.5,,,,MULTISEED,7,-0.17658647226445445,-0.0793722437350356,0.17658647226445445,0.7504685844706048,0.6108082137294845,0.8680804888955135,4,6,6,0.8236,0.8432,0.7328,0.6022,0.3941,0.8347,0.6123,0.6022,4.247905019309243e-05,6.417492316828834e-05,2.917051955850588e-05,3.500440360978246e-05,21.0,50,4,21.0,r-gdumb_sl6_st6_sp336_bu50_re0.5_seed7
yahoo-a1,tcn,lwf,6,6,336,,,,,,1.0,2.0,MULTISEED,123,-0.11261956084040085,-0.06752193651027001,0.11261956084040085,0.8163772507036273,0.7124550978399713,0.9442701867288251,4,6,6,0.9443,0.8783,0.8497,0.5932,0.6496,0.8297,0.7773,0.5932,2.884100678559346e-05,4.357134601993797e-05,1.980521678342484e-05,2.376612923651313e-05,14.3,44,4,14.3,r-lwf_sl6_st6_sp336_al1.0_te2.0_seed123
yahoo-a1,tcn,lwf,6,6,336,,,,,,1.0,2.0,MULTISEED,7,-0.13675635547791917,-0.06284930876339666,0.13675635547791917,0.7448972169445923,0.6150207082509447,0.8680804888955135,4,6,6,0.8236,0.8486,0.7224,0.5849,0.4291,0.8164,0.6296,0.5849,2.536556041588745e-05,3.832084011790963e-05,1.7418624769197777e-05,2.090221534871186e-05,12.5,34,4,12.6,r-lwf_sl6_st6_sp336_al1.0_te2.0_seed7
yahoo-a1,tcn,naive,16,16,336,,,,,,,,MULTISEED,123,-0.22280291530576898,-0.09431321166987626,0.22280291530576898,0.6941313958409514,0.49571787933046974,0.8754085356179597,4,6,6,0.7884,0.8752,0.5394,0.5735,0.2627,0.7485,0.3982,0.5735,1.81818276876908e-05,2.7468066955657885e-05,1.2485549941710714e-05,1.4982517013947167e-05,9.0,57,4,9.0,r-naive_sl16_st16_sp336_seed123
yahoo-a1,tcn,naive,16,16,336,,,,,,,,MULTISEED,7,-0.2417590438362489,-0.10471102172284247,0.2417590438362489,0.6633716832241706,0.5085935053661358,0.8926957858895032,4,6,6,0.7051,0.8893,0.4564,0.6026,0.2379,0.7798,0.414,0.6026,1.6830290717460382e-05,2.542624208364739e-05,1.1557448958693486e-05,1.3868793124953903e-05,8.3,48,4,8.3,r-naive_sl16_st16_sp336_seed7
